id,db_id,difficulty,assignee,wrong_turn,error_class,subcategory,fix_idea,notes
bird_694,codebase_community,moderate,Hanyan,,,,,
bird_710,codebase_community,simple,Hanyan,,,,,
bird_72,california_schools,moderate,Hanyan,,,,,
bird_743,superhero,challenging,Hanyan,,,,,
bird_744,superhero,challenging,Hanyan,,,,,
bird_751,superhero,moderate,Hanyan,,,,,
bird_829,superhero,challenging,Hanyan,,,,,
bird_83,california_schools,challenging,Hanyan,,,,,
bird_847,formula_1,simple,Hanyan,,,,,
bird_85,california_schools,moderate,Hanyan,,,,,
bird_87,california_schools,challenging,Hanyan,,,,,
bird_879,formula_1,moderate,Hanyan,,,,,
bird_896,formula_1,challenging,Hanyan,,,,,
bird_897,formula_1,moderate,Hanyan,,,,,
bird_902,formula_1,simple,Hanyan,,,,,
bird_906,formula_1,moderate,Hanyan,,,,,
bird_928,formula_1,moderate,Hanyan,,,,,
bird_930,formula_1,simple,Hanyan,,,,,
bird_937,formula_1,simple,Hanyan,,,,,
bird_94,financial,challenging,Hanyan,,,,,
bird_944,formula_1,challenging,Hanyan,,,,,
bird_95,financial,moderate,Hanyan,,,,,
bird_950,formula_1,simple,Hanyan,,,,,
bird_951,formula_1,simple,Hanyan,,,,,
bird_955,formula_1,challenging,Hanyan,,,,,
bird_959,formula_1,simple,Hanyan,,,,,
bird_963,formula_1,moderate,Hanyan,,,,,
bird_967,formula_1,simple,Hanyan,,,,,
bird_978,formula_1,simple,Hanyan,,,,,
bird_989,formula_1,moderate,Hanyan,,,,,
